training size,testing size,loss function,batch size,learning rate,epoch,control trainning accuracy,copy trainning accuracy,control testing accuracy,copy testing accuracy
100,9900,BCELoss,100,1e-05,50,0.19,0.13,0.15868686868686868,0.14878787878787877
100,9900,BCELoss,100,1e-05,50,0.11,0.11,0.12858585858585858,0.12111111111111111
100,9900,BCELoss,100,1e-05,50,0.15,0.11,0.15575757575757576,0.0795959595959596
100,9900,BCELoss,100,1e-05,50,0.17,0.12,0.15232323232323233,0.10555555555555556
100,9900,BCELoss,100,1e-05,50,0.09,0.07,0.07818181818181819,0.12414141414141414
100,9900,BCELoss,100,1e-05,50,0.21,0.1,0.16656565656565656,0.08181818181818182
100,9900,BCELoss,100,1e-05,50,0.21,0.18,0.1404040404040404,0.16505050505050506
100,9900,BCELoss,100,1e-05,50,0.2,0.12,0.15656565656565657,0.10898989898989898
100,9900,BCELoss,100,1e-05,50,0.18,0.1,0.11797979797979798,0.11636363636363636
100,9900,BCELoss,100,1e-05,50,0.14,0.16,0.132020202020202,0.11717171717171718
100,9900,BCELoss,100,1e-05,50,0.15,0.08,0.1205050505050505,0.09101010101010101
100,9900,BCELoss,100,1e-05,50,0.17,0.14,0.1693939393939394,0.1288888888888889
100,9900,BCELoss,100,1e-05,50,0.15,0.05,0.10323232323232323,0.07848484848484849
100,9900,BCELoss,100,1e-05,50,0.19,0.14,0.13585858585858585,0.11363636363636363
100,9900,BCELoss,100,1e-05,50,0.13,0.11,0.1203030303030303,0.1008080808080808
100,9900,BCELoss,100,1e-05,50,0.15,0.24,0.11545454545454545,0.18818181818181817
100,9900,BCELoss,100,1e-05,50,0.16,0.12,0.15555555555555556,0.13767676767676768
100,9900,BCELoss,100,1e-05,50,0.1,0.19,0.10909090909090909,0.12393939393939393
100,9900,BCELoss,100,1e-05,50,0.13,0.12,0.1096969696969697,0.09161616161616161
100,9900,BCELoss,100,1e-05,50,0.2,0.16,0.16797979797979798,0.12828282828282828
100,9900,BCELoss,100,1e-05,100,0.28,0.26,0.17707070707070707,0.19797979797979798
100,9900,BCELoss,100,1e-05,100,0.29,0.2,0.21222222222222223,0.19393939393939394
100,9900,BCELoss,100,1e-05,100,0.25,0.15,0.2009090909090909,0.11535353535353535
100,9900,BCELoss,100,1e-05,100,0.17,0.28,0.128989898989899,0.21868686868686868
100,9900,BCELoss,100,1e-05,100,0.22,0.18,0.1596969696969697,0.11393939393939394
100,9900,BCELoss,100,1e-05,100,0.15,0.22,0.14282828282828283,0.1383838383838384
100,9900,BCELoss,100,1e-05,100,0.21,0.17,0.14707070707070707,0.14353535353535354
100,9900,BCELoss,100,1e-05,100,0.19,0.14,0.1394949494949495,0.11444444444444445
100,9900,BCELoss,100,1e-05,100,0.23,0.21,0.15484848484848485,0.18777777777777777
100,9900,BCELoss,100,1e-05,100,0.24,0.06,0.18515151515151515,0.11393939393939394
