training size,testing size,loss function,batch size,learning rate,epoch,control trainning accuracy,copy trainning accuracy,control testing accuracy,copy testing accuracy
100,9900,BCELoss,100,1e-05,50,0.15899999999999997,0.1275,0.1347070707070707,0.11755555555555555
100,9900,BCELoss,100,1e-05,100,0.223,0.18700000000000006,0.16395959595959594,0.15157575757575756
100,9900,BCELoss,100,1e-05,200,0.3125,0.334,0.22563636363636358,0.2341212121212121
100,9900,BCELoss,100,5e-05,50,0.35600000000000004,0.4259999999999999,0.2397171717171717,0.2843686868686868
100,9900,BCELoss,100,5e-05,100,0.526,0.6625000000000001,0.37710101010101016,0.47923232323232323
100,9900,BCELoss,100,5e-05,200,0.7819999999999999,0.8285,0.6023282828282828,0.6421414141414142
100,9900,BCELoss,100,0.0001,50,0.5150000000000001,0.6445000000000001,0.3689545454545455,0.4667878787878788
100,9900,BCELoss,100,0.0001,100,0.7335,0.8005000000000001,0.5654545454545453,0.6229545454545453
100,9900,BCELoss,100,0.0001,200,0.9440000000000002,0.8535,0.7284848484848483,0.7327222222222224
100,9900,MSELoss,100,1e-05,50,0.16000000000000003,0.1695,0.13323737373737374,0.14338888888888887
100,9900,MSELoss,100,1e-05,100,0.21550000000000002,0.2265,0.17003535353535354,0.1799292929292929
100,9900,MSELoss,100,1e-05,200,0.3510000000000001,0.3625,0.2366717171717172,0.245469696969697
100,9900,MSELoss,100,5e-05,50,0.36450000000000005,0.40650000000000014,0.251040404040404,0.2821363636363636
100,9900,MSELoss,100,5e-05,100,0.5259999999999999,0.596,0.36626767676767674,0.4347878787878788
100,9900,MSELoss,100,5e-05,200,0.7464999999999999,0.7975,0.5839444444444444,0.648510101010101
100,9900,MSELoss,100,0.0001,50,0.5025,0.5664999999999999,0.34204040404040403,0.42716666666666664
100,9900,MSELoss,100,0.0001,100,0.7474999999999998,0.7845000000000001,0.5588282828282829,0.6265454545454545
100,9900,MSELoss,100,0.0001,200,0.9435,0.8515,0.734540404040404,0.7327474747474749
201,9799,BCELoss,100,1e-05,50,0.18109452736318404,0.17388059701492536,0.1582814572915604,0.1536381263394224
201,9799,BCELoss,100,1e-05,100,0.26791044776119405,0.2878109452736319,0.21795081130727628,0.22387998775385243
201,9799,BCELoss,100,1e-05,200,0.40472636815920404,0.4791044776119403,0.3352484947443617,0.39193285029084596
201,9799,BCELoss,100,5e-05,50,0.46044776119402975,0.5470149253731342,0.36926216960914376,0.4434330033676906
201,9799,BCELoss,100,5e-05,100,0.6716417910447763,0.7703980099502485,0.5778701908357996,0.6581947137463006
201,9799,BCELoss,100,5e-05,200,0.8661691542288559,0.8634328358208956,0.7448464128992754,0.7770946014899478
201,9799,BCELoss,100,0.0001,50,0.612686567164179,0.7447761194029852,0.5192315542402286,0.6430656189407081
