training size,testing size,loss function,batch size,learning rate,epoch,control trainning accuracy,copy trainning accuracy,control testing accuracy,copy testing accuracy
100,9900,BCELoss,50,1e-05,50,0.17,0.15,0.11,0.15343434343434342
100,9900,BCELoss,50,1e-05,50,0.2,0.23,0.14272727272727273,0.1716161616161616
100,9900,BCELoss,50,1e-05,50,0.25,0.17,0.19555555555555557,0.12515151515151515
100,9900,BCELoss,50,1e-05,50,0.17,0.19,0.15565656565656566,0.14909090909090908
100,9900,BCELoss,50,1e-05,50,0.24,0.14,0.1802020202020202,0.141010101010101
100,9900,BCELoss,50,1e-05,50,0.16,0.15,0.1195959595959596,0.1507070707070707
100,9900,BCELoss,50,1e-05,50,0.22,0.2,0.15797979797979797,0.14424242424242426
100,9900,BCELoss,50,1e-05,50,0.18,0.11,0.11828282828282828,0.09171717171717171
100,9900,BCELoss,50,1e-05,50,0.21,0.16,0.1386868686868687,0.15545454545454546
100,9900,BCELoss,50,1e-05,50,0.15,0.13,0.1413131313131313,0.13141414141414143
100,9900,BCELoss,50,1e-05,100,0.32,0.24,0.20272727272727273,0.19838383838383838
100,9900,BCELoss,50,1e-05,100,0.17,0.26,0.1895959595959596,0.19707070707070706
100,9900,BCELoss,50,1e-05,100,0.21,0.32,0.15424242424242424,0.2634343434343434
100,9900,BCELoss,50,1e-05,100,0.22,0.24,0.17939393939393938,0.22363636363636363
100,9900,BCELoss,50,1e-05,100,0.36,0.25,0.28505050505050505,0.19292929292929292
100,9900,BCELoss,50,1e-05,100,0.21,0.19,0.12282828282828283,0.13616161616161615
100,9900,BCELoss,50,1e-05,100,0.12,0.16,0.12737373737373736,0.1393939393939394
100,9900,BCELoss,50,1e-05,100,0.41,0.37,0.26666666666666666,0.24828282828282827
100,9900,BCELoss,50,1e-05,100,0.23,0.3,0.16464646464646465,0.24656565656565657
100,9900,BCELoss,50,1e-05,100,0.21,0.18,0.14333333333333334,0.15313131313131312
100,9900,BCELoss,50,1e-05,200,0.49,0.55,0.30434343434343436,0.45151515151515154
100,9900,BCELoss,50,1e-05,200,0.51,0.53,0.3386868686868687,0.40444444444444444
100,9900,BCELoss,50,1e-05,200,0.35,0.57,0.25626262626262625,0.3411111111111111
100,9900,BCELoss,50,1e-05,200,0.59,0.5,0.3923232323232323,0.31666666666666665
100,9900,BCELoss,50,1e-05,200,0.44,0.5,0.3207070707070707,0.3244444444444444
100,9900,BCELoss,50,1e-05,200,0.55,0.6,0.3398989898989899,0.39181818181818184
100,9900,BCELoss,50,1e-05,200,0.43,0.56,0.31696969696969696,0.3273737373737374
100,9900,BCELoss,50,1e-05,200,0.36,0.57,0.23777777777777778,0.43383838383838386
100,9900,BCELoss,50,1e-05,200,0.53,0.53,0.378989898989899,0.37
100,9900,BCELoss,50,1e-05,200,0.39,0.55,0.24656565656565657,0.40393939393939393
100,9900,BCELoss,50,3e-05,50,0.44,0.31,0.3301010101010101,0.26666666666666666
100,9900,BCELoss,50,3e-05,50,0.48,0.34,0.33616161616161616,0.23727272727272727
100,9900,BCELoss,50,3e-05,50,0.54,0.45,0.34424242424242424,0.27626262626262627
100,9900,BCELoss,50,3e-05,50,0.41,0.38,0.27484848484848484,0.2296969696969697
100,9900,BCELoss,50,3e-05,50,0.41,0.4,0.2861616161616162,0.3001010101010101
100,9900,BCELoss,50,3e-05,50,0.47,0.49,0.3235353535353535,0.37727272727272726
100,9900,BCELoss,50,3e-05,50,0.29,0.32,0.2108080808080808,0.2634343434343434
100,9900,BCELoss,50,3e-05,50,0.42,0.34,0.3001010101010101,0.267979797979798
100,9900,BCELoss,50,3e-05,50,0.54,0.33,0.3812121212121212,0.22797979797979798
100,9900,BCELoss,50,3e-05,50,0.35,0.46,0.25242424242424244,0.29484848484848486
100,9900,BCELoss,50,3e-05,100,0.5,0.6,0.3565656565656566,0.3980808080808081
100,9900,BCELoss,50,3e-05,100,0.43,0.68,0.30737373737373735,0.4804040404040404
100,9900,BCELoss,50,3e-05,100,0.57,0.64,0.4119191919191919,0.5261616161616162
100,9900,BCELoss,50,3e-05,100,0.51,0.6,0.35898989898989897,0.35474747474747476
100,9900,BCELoss,50,3e-05,100,0.57,0.65,0.3657575757575758,0.451010101010101
100,9900,BCELoss,50,3e-05,100,0.57,0.65,0.42858585858585857,0.47545454545454546
100,9900,BCELoss,50,3e-05,100,0.58,0.75,0.3657575757575758,0.5478787878787879
100,9900,BCELoss,50,3e-05,100,0.61,0.6,0.3924242424242424,0.4075757575757576
100,9900,BCELoss,50,3e-05,100,0.44,0.56,0.2909090909090909,0.4018181818181818
100,9900,BCELoss,50,3e-05,100,0.63,0.72,0.4309090909090909,0.48303030303030303
100,9900,BCELoss,50,3e-05,200,0.75,0.79,0.5768686868686869,0.6129292929292929
100,9900,BCELoss,50,3e-05,200,0.79,0.86,0.5602020202020203,0.6709090909090909
100,9900,BCELoss,50,3e-05,200,0.89,0.82,0.6493939393939394,0.6603030303030303
100,9900,BCELoss,50,3e-05,200,0.77,0.77,0.5684848484848485,0.6527272727272727
100,9900,BCELoss,50,3e-05,200,0.83,0.81,0.6253535353535353,0.6087878787878788
100,9900,BCELoss,50,3e-05,200,0.65,0.77,0.5098989898989899,0.6045454545454545
100,9900,BCELoss,50,3e-05,200,0.68,0.92,0.5457575757575758,0.6713131313131313
100,9900,BCELoss,50,3e-05,200,0.69,0.77,0.5105050505050505,0.647979797979798
100,9900,BCELoss,50,3e-05,200,0.82,0.86,0.5823232323232324,0.6498989898989899
100,9900,BCELoss,50,3e-05,200,0.75,0.8,0.6532323232323233,0.6628282828282829
100,9900,BCELoss,50,5e-05,50,0.45,0.68,0.26141414141414143,0.48343434343434344
100,9900,BCELoss,50,5e-05,50,0.56,0.47,0.4174747474747475,0.347979797979798
100,9900,BCELoss,50,5e-05,50,0.51,0.58,0.33454545454545453,0.3888888888888889
100,9900,BCELoss,50,5e-05,50,0.44,0.56,0.29333333333333333,0.3805050505050505
100,9900,BCELoss,50,5e-05,50,0.42,0.47,0.33646464646464647,0.3621212121212121
100,9900,BCELoss,50,5e-05,50,0.52,0.49,0.3560606060606061,0.3813131313131313
100,9900,BCELoss,50,5e-05,50,0.52,0.42,0.42474747474747476,0.26141414141414143
100,9900,BCELoss,50,5e-05,50,0.5,0.63,0.3695959595959596,0.4074747474747475
100,9900,BCELoss,50,5e-05,50,0.55,0.55,0.34505050505050505,0.39131313131313133
100,9900,BCELoss,50,5e-05,50,0.5,0.55,0.3814141414141414,0.3838383838383838
100,9900,BCELoss,50,5e-05,100,0.61,0.7,0.48484848484848486,0.5493939393939394
100,9900,BCELoss,50,5e-05,100,0.84,0.77,0.5608080808080808,0.5396969696969697
100,9900,BCELoss,50,5e-05,100,0.7,0.79,0.5253535353535354,0.5837373737373738
100,9900,BCELoss,50,5e-05,100,0.75,0.79,0.5713131313131313,0.5807070707070707
100,9900,BCELoss,50,5e-05,100,0.7,0.76,0.5626262626262626,0.5727272727272728
100,9900,BCELoss,50,5e-05,100,0.75,0.83,0.49474747474747477,0.6464646464646465
100,9900,BCELoss,50,5e-05,100,0.72,0.68,0.5483838383838384,0.5292929292929293
100,9900,BCELoss,50,5e-05,100,0.59,0.84,0.415959595959596,0.6164646464646465
100,9900,BCELoss,50,5e-05,100,0.83,0.8,0.5791919191919191,0.6049494949494949
100,9900,BCELoss,50,5e-05,100,0.77,0.79,0.5304040404040404,0.5985858585858586
100,9900,BCELoss,50,5e-05,200,0.93,0.87,0.7193939393939394,0.7014141414141414
100,9900,BCELoss,50,5e-05,200,0.87,0.87,0.6752525252525252,0.6856565656565656
100,9900,BCELoss,50,5e-05,200,0.91,0.85,0.7002020202020202,0.7171717171717171
100,9900,BCELoss,50,5e-05,200,0.93,0.84,0.7072727272727273,0.7084848484848485
100,9900,BCELoss,50,5e-05,200,0.92,0.82,0.7255555555555555,0.7004040404040404
100,9900,BCELoss,50,5e-05,200,0.8,0.83,0.6639393939393939,0.6923232323232323
100,9900,BCELoss,50,5e-05,200,0.93,0.85,0.6848484848484848,0.7036363636363636
100,9900,BCELoss,50,5e-05,200,0.92,0.81,0.6977777777777778,0.7085858585858585
100,9900,BCELoss,50,5e-05,200,0.91,0.89,0.7092929292929293,0.7314141414141414
100,9900,BCELoss,50,5e-05,200,0.97,0.81,0.7261616161616161,0.6718181818181819
100,9900,BCELoss,50,7e-05,50,0.43,0.62,0.3376767676767677,0.4582828282828283
100,9900,BCELoss,50,7e-05,50,0.6,0.63,0.41404040404040404,0.5122222222222222
100,9900,BCELoss,50,7e-05,50,0.58,0.67,0.40626262626262627,0.5031313131313131
100,9900,BCELoss,50,7e-05,50,0.63,0.55,0.4492929292929293,0.41393939393939394
100,9900,BCELoss,50,7e-05,50,0.6,0.74,0.444040404040404,0.5064646464646465
100,9900,BCELoss,50,7e-05,50,0.62,0.66,0.46101010101010104,0.43282828282828284
100,9900,BCELoss,50,7e-05,50,0.48,0.65,0.36252525252525253,0.46535353535353535
100,9900,BCELoss,50,7e-05,50,0.67,0.65,0.5058585858585859,0.46050505050505053
100,9900,BCELoss,50,7e-05,50,0.66,0.68,0.42323232323232324,0.5255555555555556
100,9900,BCELoss,50,7e-05,50,0.59,0.71,0.4306060606060606,0.4917171717171717
100,9900,BCELoss,50,7e-05,100,0.65,0.82,0.5592929292929293,0.6903030303030303
100,9900,BCELoss,50,7e-05,100,0.74,0.83,0.6104040404040404,0.6603030303030303
100,9900,BCELoss,50,7e-05,100,0.84,0.87,0.6391919191919192,0.6702020202020202
100,9900,BCELoss,50,7e-05,100,0.84,0.87,0.6418181818181818,0.6867676767676768
100,9900,BCELoss,50,7e-05,100,0.71,0.78,0.6051515151515151,0.6780808080808081
100,9900,BCELoss,50,7e-05,100,0.76,0.78,0.5973737373737373,0.6608080808080808
100,9900,BCELoss,50,7e-05,100,0.84,0.83,0.6424242424242425,0.6894949494949495
100,9900,BCELoss,50,7e-05,100,0.75,0.87,0.5901010101010101,0.6433333333333333
100,9900,BCELoss,50,7e-05,100,0.9,0.85,0.652020202020202,0.6884848484848485
100,9900,BCELoss,50,7e-05,100,0.8,0.79,0.6435353535353535,0.6519191919191919
100,9900,BCELoss,50,7e-05,200,0.91,0.85,0.7116161616161616,0.7346464646464647
100,9900,BCELoss,50,7e-05,200,0.91,0.85,0.7363636363636363,0.7318181818181818
100,9900,BCELoss,50,7e-05,200,0.95,0.86,0.7684848484848484,0.7080808080808081
100,9900,BCELoss,50,7e-05,200,0.98,0.8,0.7493939393939394,0.7421212121212121
100,9900,BCELoss,50,7e-05,200,0.94,0.89,0.7249494949494949,0.7281818181818182
100,9900,BCELoss,50,7e-05,200,0.98,0.92,0.7485858585858586,0.7526262626262626
100,9900,BCELoss,50,7e-05,200,0.98,0.91,0.7497979797979798,0.7170707070707071
100,9900,BCELoss,50,7e-05,200,0.99,0.91,0.7290909090909091,0.7032323232323232
100,9900,BCELoss,50,7e-05,200,1.0,0.86,0.7732323232323233,0.7547474747474747
100,9900,BCELoss,50,7e-05,200,0.99,0.78,0.7550505050505051,0.7422222222222222
100,9900,BCELoss,50,0.0001,50,0.64,0.78,0.4813131313131313,0.6122222222222222
100,9900,BCELoss,50,0.0001,50,0.74,0.73,0.5341414141414141,0.5558585858585858
100,9900,BCELoss,50,0.0001,50,0.59,0.74,0.41454545454545455,0.6047474747474747
100,9900,BCELoss,50,0.0001,50,0.71,0.68,0.5288888888888889,0.5392929292929293
100,9900,BCELoss,50,0.0001,50,0.72,0.75,0.5452525252525252,0.5742424242424242
100,9900,BCELoss,50,0.0001,50,0.62,0.7,0.4496969696969697,0.5055555555555555
100,9900,BCELoss,50,0.0001,50,0.56,0.83,0.4224242424242424,0.5658585858585858
100,9900,BCELoss,50,0.0001,50,0.6,0.84,0.4727272727272727,0.6471717171717172
100,9900,BCELoss,50,0.0001,50,0.79,0.86,0.5468686868686868,0.5996969696969697
100,9900,BCELoss,50,0.0001,50,0.62,0.79,0.4482828282828283,0.6168686868686869
100,9900,BCELoss,50,0.0001,100,0.94,0.79,0.7086868686868687,0.6673737373737374
100,9900,BCELoss,50,0.0001,100,0.86,0.73,0.71,0.687979797979798
100,9900,BCELoss,50,0.0001,100,0.88,0.86,0.7197979797979798,0.693939393939394
100,9900,BCELoss,50,0.0001,100,0.89,0.86,0.7260606060606061,0.7297979797979798
100,9900,BCELoss,50,0.0001,100,0.93,0.9,0.7260606060606061,0.7297979797979798
100,9900,BCELoss,50,0.0001,100,0.96,0.86,0.7158585858585859,0.7290909090909091
100,9900,BCELoss,50,0.0001,100,0.87,0.85,0.7002020202020202,0.7408080808080808
100,9900,BCELoss,50,0.0001,100,0.97,0.88,0.7261616161616161,0.7070707070707071
100,9900,BCELoss,50,0.0001,100,0.86,0.85,0.6729292929292929,0.7412121212121212
100,9900,BCELoss,50,0.0001,100,0.87,0.87,0.6962626262626262,0.7325252525252526
100,9900,BCELoss,50,0.0001,200,1.0,0.84,0.757979797979798,0.737979797979798
100,9900,BCELoss,50,0.0001,200,0.99,0.8,0.7596969696969696,0.7070707070707071
100,9900,BCELoss,50,0.0001,200,1.0,0.91,0.7824242424242425,0.7552525252525253
100,9900,BCELoss,50,0.0001,200,0.99,0.84,0.7606060606060606,0.7311111111111112
100,9900,BCELoss,50,0.0001,200,0.99,0.83,0.7642424242424243,0.7090909090909091
100,9900,BCELoss,50,0.0001,200,1.0,0.86,0.7836363636363637,0.7488888888888889
100,9900,BCELoss,50,0.0001,200,0.99,0.85,0.7543434343434343,0.7495959595959596
100,9900,BCELoss,50,0.0001,200,0.97,0.87,0.7578787878787879,0.7357575757575757
100,9900,BCELoss,50,0.0001,200,0.99,0.8,0.74989898989899,0.7251515151515151
100,9900,BCELoss,50,0.0001,200,0.99,0.87,0.7622222222222222,0.721919191919192
100,9900,BCELoss,100,1e-05,50,0.14,0.1,0.08414141414141414,0.09737373737373738
100,9900,BCELoss,100,1e-05,50,0.21,0.19,0.12616161616161617,0.15121212121212121
100,9900,BCELoss,100,1e-05,50,0.25,0.1,0.16565656565656567,0.10171717171717172
100,9900,BCELoss,100,1e-05,50,0.22,0.16,0.12222222222222222,0.11545454545454545
100,9900,BCELoss,100,1e-05,50,0.12,0.1,0.1098989898989899,0.1101010101010101
100,9900,BCELoss,100,1e-05,50,0.2,0.15,0.132020202020202,0.1195959595959596
100,9900,BCELoss,100,1e-05,50,0.18,0.07,0.12646464646464647,0.07696969696969697
100,9900,BCELoss,100,1e-05,50,0.12,0.12,0.12595959595959597,0.11181818181818182
