training size,testing size,loss function,batch size,learning rate,epoch,control trainning accuracy,copy trainning accuracy,control testing accuracy,copy testing accuracy
100,9900,BCELoss,50,1e-05,50,0.19499999999999998,0.16299999999999998,0.14600000000000002,0.14138383838383836
100,9900,BCELoss,50,1e-05,100,0.246,0.251,0.18358585858585857,0.19989898989898988
100,9900,BCELoss,50,1e-05,200,0.46399999999999997,0.546,0.3132525252525252,0.3765151515151516
100,9900,BCELoss,50,3e-05,50,0.43499999999999994,0.382,0.303959595959596,0.27415151515151515
100,9900,BCELoss,50,3e-05,100,0.541,0.645,0.370919191919192,0.4526161616161616
100,9900,BCELoss,50,3e-05,200,0.7620000000000001,0.817,0.5782020202020203,0.6442222222222223
100,9900,BCELoss,50,5e-05,50,0.497,0.5399999999999999,0.352010101010101,0.37882828282828285
100,9900,BCELoss,50,5e-05,100,0.726,0.7749999999999999,0.5273636363636364,0.5822020202020203
100,9900,BCELoss,50,5e-05,200,0.909,0.844,0.7009696969696969,0.7020909090909091
100,9900,BCELoss,50,7e-05,50,0.5860000000000001,0.656,0.4234545454545454,0.477
100,9900,BCELoss,50,7e-05,100,0.783,0.829,0.6181313131313131,0.671969696969697
100,9900,BCELoss,50,7e-05,200,0.9630000000000001,0.8630000000000001,0.7446565656565657,0.7314747474747475
100,9900,BCELoss,50,0.0001,50,0.659,0.77,0.4844141414141413,0.5821515151515151
100,9900,BCELoss,50,0.0001,100,0.9029999999999999,0.845,0.7102020202020203,0.7159595959595959
100,9900,BCELoss,50,0.0001,200,0.991,0.8469999999999999,0.7632929292929294,0.7321818181818182
100,9900,BCELoss,100,1e-05,50,0.172,0.12400000000000003,0.12235353535353537,0.11250505050505051
100,9900,BCELoss,100,1e-05,100,0.21100000000000002,0.178,0.1546767676767677,0.14440404040404037
100,9900,BCELoss,100,1e-05,200,0.369,0.3400000000000001,0.25524242424242427,0.2388080808080808
100,9900,BCELoss,100,3e-05,50,0.271,0.25199999999999995,0.19542424242424244,0.1696666666666667
100,9900,BCELoss,100,3e-05,100,0.40800000000000003,0.487,0.2798989898989899,0.35010101010101013
100,9900,BCELoss,100,3e-05,200,0.607,0.736,0.4486666666666667,0.5321515151515152
100,9900,BCELoss,100,5e-05,50,0.433,0.446,0.2931616161616161,0.28431313131313135
100,9900,BCELoss,100,5e-05,100,0.531,0.66,0.3745353535353536,0.4639292929292929
100,9900,BCELoss,100,5e-05,200,0.772,0.827,0.6005555555555555,0.6643232323232324
100,9900,BCELoss,100,7e-05,50,0.43099999999999994,0.502,0.3086666666666667,0.3481111111111111
100,9900,BCELoss,100,7e-05,100,0.621,0.729,0.46039393939393936,0.5485252525252526
100,9900,BCELoss,100,7e-05,200,0.882,0.8470000000000001,0.6834646464646466,0.7115151515151517
100,9900,BCELoss,100,0.0001,50,0.502,0.6330000000000001,0.36084848484848486,0.4596363636363637
100,9900,BCELoss,100,0.0001,100,0.752,0.8140000000000001,0.5584242424242424,0.6428181818181817
100,9900,BCELoss,100,0.0001,200,0.931,0.866,0.7193131313131313,0.7321111111111112
100,9900,BCEWithLogitsLoss,50,1e-05,50,0.162,0.186,0.13324242424242425,0.15482828282828287
100,9900,BCEWithLogitsLoss,50,1e-05,100,0.29300000000000004,0.279,0.21075757575757575,0.20842424242424246
100,9900,BCEWithLogitsLoss,50,1e-05,200,0.41200000000000003,0.37699999999999995,0.2904545454545455,0.2834242424242424
100,9900,BCEWithLogitsLoss,50,3e-05,50,0.328,0.3430000000000001,0.23661616161616164,0.25163636363636366
100,9900,BCEWithLogitsLoss,50,3e-05,100,0.586,0.538,0.425969696969697,0.39328282828282835
100,9900,BCEWithLogitsLoss,50,3e-05,200,0.8019999999999999,0.6990000000000001,0.5877979797979799,0.5844848484848485
100,9900,BCEWithLogitsLoss,50,5e-05,50,0.5029999999999999,0.52,0.3491515151515151,0.38264646464646457
100,9900,BCEWithLogitsLoss,50,5e-05,100,0.719,0.6380000000000001,0.5245454545454545,0.522080808080808
100,9900,BCEWithLogitsLoss,50,5e-05,200,0.9260000000000002,0.8029999999999999,0.7155757575757576,0.6842525252525253
100,9900,BCEWithLogitsLoss,50,7e-05,50,0.5920000000000001,0.536,0.4266262626262626,0.40474747474747474
100,9900,BCEWithLogitsLoss,50,7e-05,100,0.8059999999999998,0.725,0.6246262626262626,0.6161515151515151
100,9900,BCEWithLogitsLoss,50,7e-05,200,0.9810000000000001,0.843,0.7494545454545455,0.7098080808080809
100,9900,BCEWithLogitsLoss,50,0.0001,50,0.6610000000000001,0.628,0.4793939393939395,0.4989494949494949
100,9900,BCEWithLogitsLoss,50,0.0001,100,0.8989999999999998,0.784,0.7061111111111111,0.6684545454545454
100,9900,BCEWithLogitsLoss,50,0.0001,200,0.984,0.8370000000000001,0.7664242424242425,0.73110101010101
100,9900,BCEWithLogitsLoss,100,1e-05,50,0.168,0.146,0.13674747474747476,0.11461616161616162
100,9900,BCEWithLogitsLoss,100,1e-05,100,0.225,0.191,0.15701010101010102,0.15107070707070708
100,9900,BCEWithLogitsLoss,100,1e-05,200,0.30300000000000005,0.29100000000000004,0.21136363636363636,0.21475757575757576
100,9900,BCEWithLogitsLoss,100,3e-05,50,0.262,0.308,0.19205050505050505,0.21981818181818183
100,9900,BCEWithLogitsLoss,100,3e-05,100,0.394,0.446,0.2701818181818182,0.31707070707070706
100,9900,BCEWithLogitsLoss,100,3e-05,200,0.549,0.5700000000000001,0.4217474747474747,0.4547878787878788
