training size,testing size,loss function,batch size,learning rate,epoch,control trainning accuracy,copy trainning accuracy,control testing accuracy,copy testing accuracy
501,9499,BCELoss,100,1e-05,200,0.4870259481037924,0.6746506986027944,0.4969996841772818,0.6361722286556479
501,9499,BCELoss,100,1e-05,200,0.6167664670658682,0.7524950099800399,0.5709022002316033,0.6664912096010106
501,9499,BCELoss,100,1e-05,200,0.6047904191616766,0.7065868263473054,0.5912201284345721,0.650278976734393
501,9499,BCELoss,100,1e-05,200,0.5708582834331337,0.7245508982035929,0.5527950310559007,0.6681755974313086
501,9499,BCELoss,100,1e-05,200,0.6147704590818364,0.7225548902195609,0.5440572691862301,0.6425939572586588
501,9499,BCELoss,100,1e-05,200,0.5568862275449101,0.7145708582834331,0.5332140225286872,0.6388040846404884
501,9499,BCELoss,100,1e-05,200,0.5668662674650699,0.6467065868263473,0.5331087482892936,0.5991156963890936
501,9499,BCELoss,100,1e-05,200,0.6427145708582834,0.7085828343313373,0.5749026213285608,0.6501737024949995
501,9499,BCELoss,100,1e-05,200,0.5169660678642715,0.6746506986027944,0.5030003158227182,0.6281713864617328
501,9499,BCELoss,100,1e-05,200,0.500998003992016,0.6586826347305389,0.42709758921991786,0.6254342562374987
501,9499,BCELoss,100,5e-05,200,0.8562874251497006,0.9101796407185628,0.7440783240341089,0.7867143909885251
501,9499,BCELoss,100,5e-05,200,0.9121756487025948,0.906187624750499,0.7721865459522055,0.7851352773976208
501,9499,BCELoss,100,5e-05,200,0.8962075848303394,0.9001996007984032,0.7814506790188441,0.7837667122855038
501,9499,BCELoss,100,5e-05,200,0.8423153692614771,0.9241516966067864,0.7497631329613643,0.7875565849036741
501,9499,BCELoss,100,5e-05,200,0.7844311377245509,0.9261477045908184,0.6819665227918729,0.7874513106642804
501,9499,BCELoss,100,5e-05,200,0.8483033932135728,0.908183632734531,0.7470260027371303,0.7914517317612381
501,9499,BCELoss,100,5e-05,200,0.8383233532934131,0.8862275449101796,0.7493420360037899,0.7857669228339825
501,9499,BCELoss,100,5e-05,200,0.8363273453093812,0.9001996007984032,0.7438677755553216,0.7809243078218759
501,9499,BCELoss,100,5e-05,200,0.7944111776447106,0.9001996007984032,0.6819665227918729,0.7852405516370145
501,9499,BCELoss,100,5e-05,200,0.8383233532934131,0.8902195608782435,0.717970312664491,0.7814506790188441
501,9499,BCELoss,100,0.0001,200,0.9540918163672655,0.9760479041916168,0.7868196652279187,0.7894515212127592
501,9499,BCELoss,100,0.0001,200,0.7924151696606786,0.9520958083832335,0.683019265185809,0.787872407621855
