training size,testing size,loss function,batch size,learning rate,epoch,control trainning accuracy,copy trainning accuracy,control testing accuracy,copy testing accuracy
501,9499,BCELoss,100,1e-05,200,0.5678642714570858,0.6984031936127744,0.5327297610274766,0.6405411095904833
501,9499,BCELoss,100,5e-05,200,0.8447105788423153,0.9051896207584831,0.7369617854511,0.785545846931256
501,9499,BCELoss,100,0.0001,200,0.924950099800399,0.9594810379241517,0.7673544583640383,0.7840509527318664
1000,9000,BCELoss,100,1e-05,200,0.6991999999999999,0.7956000000000001,0.6693333333333333,0.7576777777777778
1000,9000,BCELoss,100,5e-05,200,0.8861000000000001,0.9092,0.7863111111111112,0.8043444444444443
1000,9000,BCELoss,100,0.0001,200,0.9235999999999999,0.9623999999999999,0.7911444444444444,0.7986444444444445
3001,6999,BCELoss,100,1e-05,200,0.8098300566477843,0.8411196267910697,0.7812687526789542,0.8141448778396916
3001,6999,BCELoss,100,5e-05,200,0.8927357547484173,0.9101299566811065,0.8105443634804972,0.8230747249607088
3001,6999,BCELoss,100,0.0001,200,0.9194935021659448,0.9569476841052982,0.8189027003857694,0.8137019574224891
5001,4999,BCELoss,100,1e-05,200,0.808498300339932,0.8464707058588283,0.7836967393478695,0.8239047809561912
5001,4999,BCELoss,100,5e-05,200,0.8937812437512498,0.908498300339932,0.8222244448889778,0.8286657331466293
5001,4999,BCELoss,100,0.0001,200,0.9153569286142771,0.9525294941011797,0.8261052210442088,0.8217843568713743
7000,3000,BCELoss,100,1e-05,200,0.8318714285714286,0.8490142857142857,0.8073,0.8292333333333332
7000,3000,BCELoss,100,5e-05,200,0.8911571428571428,0.9084428571428571,0.8250666666666667,0.8323333333333334
7000,3000,BCELoss,100,0.0001,200,0.9124000000000001,0.9482285714285714,0.8332666666666666,0.8245666666666667
