training size,testing size,loss function,batch size,learning rate,epoch,control trainning accuracy,copy trainning accuracy,control testing accuracy,copy testing accuracy
100,9900,BCELoss,100,1e-05,50,0.13,0.1,0.10888888888888888,0.07161616161616162
100,9900,BCELoss,100,1e-05,50,0.13,0.12,0.1497979797979798,0.10808080808080808
100,9900,BCELoss,100,1e-05,50,0.22,0.15,0.1890909090909091,0.10808080808080808
100,9900,BCELoss,100,1e-05,50,0.1,0.15,0.10888888888888888,0.08868686868686869
100,9900,BCELoss,100,1e-05,50,0.12,0.06,0.10323232323232323,0.10565656565656566
100,9900,BCELoss,100,1e-05,50,0.13,0.23,0.08525252525252525,0.18626262626262627
100,9900,BCELoss,100,1e-05,50,0.12,0.14,0.11444444444444445,0.1295959595959596
100,9900,BCELoss,100,1e-05,50,0.14,0.16,0.11272727272727273,0.16303030303030303
100,9900,BCELoss,100,1e-05,50,0.14,0.19,0.11050505050505051,0.14505050505050504
100,9900,BCELoss,100,1e-05,50,0.13,0.19,0.11616161616161616,0.17909090909090908
100,9900,BCELoss,100,1e-05,50,0.09,0.09,0.08666666666666667,0.09878787878787879
100,9900,BCELoss,100,1e-05,50,0.18,0.19,0.1602020202020202,0.15383838383838383
100,9900,BCELoss,100,1e-05,50,0.14,0.11,0.15363636363636363,0.048585858585858586
100,9900,BCELoss,100,1e-05,50,0.18,0.15,0.1505050505050505,0.11474747474747475
100,9900,BCELoss,100,1e-05,50,0.1,0.21,0.06171717171717172,0.10232323232323233
100,9900,BCELoss,100,1e-05,50,0.15,0.12,0.11393939393939394,0.13282828282828282
100,9900,BCELoss,100,1e-05,50,0.09,0.16,0.07525252525252525,0.11525252525252526
100,9900,BCELoss,100,1e-05,50,0.14,0.14,0.1103030303030303,0.11494949494949495
100,9900,BCELoss,100,1e-05,50,0.1,0.15,0.10444444444444445,0.1096969696969697
100,9900,BCELoss,100,1e-05,50,0.15,0.15,0.10767676767676768,0.15808080808080807
100,9900,BCELoss,100,1e-05,100,0.11,0.15,0.11717171717171718,0.14575757575757575
100,9900,BCELoss,100,1e-05,100,0.28,0.21,0.15292929292929294,0.20606060606060606
100,9900,BCELoss,100,1e-05,100,0.2,0.2,0.16090909090909092,0.1895959595959596
100,9900,BCELoss,100,1e-05,100,0.19,0.23,0.20636363636363636,0.13565656565656567
100,9900,BCELoss,100,1e-05,100,0.28,0.17,0.1714141414141414,0.12585858585858586
100,9900,BCELoss,100,1e-05,100,0.21,0.21,0.1396969696969697,0.16828282828282828
100,9900,BCELoss,100,1e-05,100,0.25,0.25,0.17323232323232324,0.1784848484848485
100,9900,BCELoss,100,1e-05,100,0.25,0.28,0.19414141414141414,0.13343434343434343
100,9900,BCELoss,100,1e-05,100,0.16,0.16,0.13646464646464646,0.13373737373737374
100,9900,BCELoss,100,1e-05,100,0.16,0.22,0.1397979797979798,0.16777777777777778
100,9900,BCELoss,100,1e-05,100,0.18,0.18,0.11717171717171718,0.1398989898989899
100,9900,BCELoss,100,1e-05,100,0.29,0.17,0.2190909090909091,0.1594949494949495
100,9900,BCELoss,100,1e-05,100,0.21,0.21,0.16151515151515153,0.1704040404040404
100,9900,BCELoss,100,1e-05,100,0.19,0.3,0.08424242424242424,0.23666666666666666
100,9900,BCELoss,100,1e-05,100,0.23,0.14,0.1903030303030303,0.1405050505050505
100,9900,BCELoss,100,1e-05,100,0.15,0.24,0.13606060606060605,0.1896969696969697
100,9900,BCELoss,100,1e-05,100,0.15,0.23,0.17525252525252524,0.13404040404040404
100,9900,BCELoss,100,1e-05,100,0.14,0.15,0.11777777777777777,0.13252525252525252
100,9900,BCELoss,100,1e-05,100,0.28,0.19,0.2096969696969697,0.09383838383838383
100,9900,BCELoss,100,1e-05,100,0.23,0.26,0.21,0.17343434343434344
100,9900,BCELoss,100,1e-05,200,0.49,0.33,0.24616161616161616,0.2493939393939394
100,9900,BCELoss,100,1e-05,200,0.31,0.39,0.25414141414141417,0.268989898989899
100,9900,BCELoss,100,1e-05,200,0.42,0.44,0.20535353535353534,0.2738383838383838
100,9900,BCELoss,100,1e-05,200,0.3,0.38,0.23696969696969697,0.24444444444444444
100,9900,BCELoss,100,1e-05,200,0.28,0.42,0.1783838383838384,0.2549494949494949
100,9900,BCELoss,100,1e-05,200,0.29,0.23,0.19626262626262625,0.14555555555555555
100,9900,BCELoss,100,1e-05,200,0.24,0.3,0.17717171717171717,0.2317171717171717
100,9900,BCELoss,100,1e-05,200,0.4,0.33,0.2380808080808081,0.22636363636363635
100,9900,BCELoss,100,1e-05,200,0.33,0.4,0.2729292929292929,0.25282828282828285
100,9900,BCELoss,100,1e-05,200,0.29,0.51,0.24202020202020202,0.3198989898989899
100,9900,BCELoss,100,1e-05,200,0.39,0.29,0.2861616161616162,0.1596969696969697
100,9900,BCELoss,100,1e-05,200,0.19,0.36,0.1412121212121212,0.28454545454545455
100,9900,BCELoss,100,1e-05,200,0.34,0.38,0.261010101010101,0.2547474747474747
100,9900,BCELoss,100,1e-05,200,0.41,0.42,0.21565656565656566,0.3378787878787879
100,9900,BCELoss,100,1e-05,200,0.28,0.46,0.18202020202020203,0.31626262626262625
100,9900,BCELoss,100,1e-05,200,0.38,0.44,0.24373737373737372,0.29414141414141415
100,9900,BCELoss,100,1e-05,200,0.31,0.31,0.20747474747474748,0.2292929292929293
100,9900,BCELoss,100,1e-05,200,0.19,0.3,0.14656565656565657,0.2106060606060606
100,9900,BCELoss,100,1e-05,200,0.32,0.36,0.2319191919191919,0.19727272727272727
100,9900,BCELoss,100,1e-05,200,0.24,0.39,0.17424242424242425,0.2516161616161616
100,9900,BCELoss,100,5e-05,50,0.24,0.53,0.1709090909090909,0.37555555555555553
100,9900,BCELoss,100,5e-05,50,0.42,0.45,0.2683838383838384,0.2608080808080808
100,9900,BCELoss,100,5e-05,50,0.24,0.33,0.21717171717171718,0.263030303030303
100,9900,BCELoss,100,5e-05,50,0.49,0.56,0.36797979797979796,0.2702020202020202
100,9900,BCELoss,100,5e-05,50,0.51,0.35,0.35444444444444445,0.25575757575757574
100,9900,BCELoss,100,5e-05,50,0.25,0.53,0.16464646464646465,0.3114141414141414
100,9900,BCELoss,100,5e-05,50,0.48,0.52,0.3203030303030303,0.36787878787878786
100,9900,BCELoss,100,5e-05,50,0.47,0.5,0.2973737373737374,0.355959595959596
100,9900,BCELoss,100,5e-05,50,0.38,0.54,0.20545454545454545,0.3384848484848485
100,9900,BCELoss,100,5e-05,50,0.32,0.51,0.22717171717171716,0.2782828282828283
100,9900,BCELoss,100,5e-05,50,0.29,0.48,0.22121212121212122,0.3086868686868687
100,9900,BCELoss,100,5e-05,50,0.28,0.39,0.19090909090909092,0.27626262626262627
100,9900,BCELoss,100,5e-05,50,0.43,0.46,0.29303030303030303,0.2732323232323232
100,9900,BCELoss,100,5e-05,50,0.49,0.56,0.3597979797979798,0.31585858585858584
100,9900,BCELoss,100,5e-05,50,0.28,0.49,0.1918181818181818,0.311010101010101
100,9900,BCELoss,100,5e-05,50,0.38,0.36,0.21878787878787878,0.261010101010101
100,9900,BCELoss,100,5e-05,50,0.28,0.48,0.18242424242424243,0.3058585858585859
100,9900,BCELoss,100,5e-05,50,0.35,0.33,0.22272727272727272,0.23525252525252524
100,9900,BCELoss,100,5e-05,50,0.34,0.35,0.2607070707070707,0.24909090909090909
100,9900,BCELoss,100,5e-05,50,0.47,0.49,0.2972727272727273,0.3427272727272727
100,9900,BCELoss,100,5e-05,100,0.51,0.68,0.3613131313131313,0.5286868686868686
100,9900,BCELoss,100,5e-05,100,0.51,0.71,0.3715151515151515,0.4482828282828283
100,9900,BCELoss,100,5e-05,100,0.62,0.69,0.43373737373737375,0.4909090909090909
100,9900,BCELoss,100,5e-05,100,0.47,0.69,0.3381818181818182,0.46595959595959596
100,9900,BCELoss,100,5e-05,100,0.47,0.77,0.4121212121212121,0.5447474747474748
100,9900,BCELoss,100,5e-05,100,0.49,0.64,0.3601010101010101,0.45444444444444443
100,9900,BCELoss,100,5e-05,100,0.6,0.79,0.3802020202020202,0.48777777777777775
100,9900,BCELoss,100,5e-05,100,0.47,0.81,0.33141414141414144,0.5108080808080808
100,9900,BCELoss,100,5e-05,100,0.43,0.7,0.36757575757575756,0.47555555555555556
100,9900,BCELoss,100,5e-05,100,0.54,0.77,0.39686868686868687,0.49414141414141416
100,9900,BCELoss,100,5e-05,100,0.47,0.73,0.3295959595959596,0.517979797979798
100,9900,BCELoss,100,5e-05,100,0.47,0.68,0.32535353535353534,0.44676767676767676
100,9900,BCELoss,100,5e-05,100,0.54,0.77,0.40595959595959596,0.5104040404040404
100,9900,BCELoss,100,5e-05,100,0.56,0.7,0.44373737373737376,0.4594949494949495
100,9900,BCELoss,100,5e-05,100,0.47,0.72,0.3091919191919192,0.3801010101010101
100,9900,BCELoss,100,5e-05,100,0.54,0.74,0.3895959595959596,0.5132323232323233
100,9900,BCELoss,100,5e-05,100,0.32,0.66,0.2598989898989899,0.39212121212121215
100,9900,BCELoss,100,5e-05,100,0.43,0.71,0.30272727272727273,0.4990909090909091
100,9900,BCELoss,100,5e-05,100,0.72,0.7,0.47333333333333333,0.4732323232323232
100,9900,BCELoss,100,5e-05,100,0.58,0.77,0.31606060606060604,0.49747474747474746
100,9900,BCELoss,100,5e-05,200,0.78,0.93,0.6315151515151515,0.6843434343434344
100,9900,BCELoss,100,5e-05,200,0.7,0.94,0.5580808080808081,0.676060606060606
100,9900,BCELoss,100,5e-05,200,0.71,0.92,0.5031313131313131,0.718989898989899
100,9900,BCELoss,100,5e-05,200,0.8,0.87,0.6478787878787878,0.6394949494949494
100,9900,BCELoss,100,5e-05,200,0.67,0.86,0.47868686868686866,0.6551515151515152
100,9900,BCELoss,100,5e-05,200,0.79,0.89,0.6063636363636363,0.6918181818181818
100,9900,BCELoss,100,5e-05,200,0.71,0.89,0.5852525252525252,0.5941414141414142
100,9900,BCELoss,100,5e-05,200,0.67,0.86,0.5476767676767677,0.6157575757575757
100,9900,BCELoss,100,5e-05,200,0.76,0.88,0.6508080808080808,0.7015151515151515
100,9900,BCELoss,100,5e-05,200,0.7,0.9,0.5811111111111111,0.6811111111111111
100,9900,BCELoss,100,5e-05,200,0.61,0.93,0.4864646464646465,0.7218181818181818
100,9900,BCELoss,100,5e-05,200,0.71,0.86,0.5504040404040405,0.6492929292929293
100,9900,BCELoss,100,5e-05,200,0.74,0.9,0.5733333333333334,0.6312121212121212
100,9900,BCELoss,100,5e-05,200,0.75,0.89,0.5183838383838384,0.6434343434343435
100,9900,BCELoss,100,5e-05,200,0.89,0.93,0.6716161616161617,0.6776767676767677
100,9900,BCELoss,100,5e-05,200,0.72,0.9,0.5348484848484848,0.721919191919192
100,9900,BCELoss,100,5e-05,200,0.79,0.98,0.6092929292929293,0.6471717171717172
100,9900,BCELoss,100,5e-05,200,0.89,0.95,0.6472727272727272,0.6919191919191919
100,9900,BCELoss,100,5e-05,200,0.77,0.93,0.5807070707070707,0.7021212121212121
100,9900,BCELoss,100,5e-05,200,0.66,0.92,0.5363636363636364,0.6741414141414142
100,9900,BCELoss,100,0.0001,50,0.53,0.83,0.4223232323232323,0.5137373737373737
100,9900,BCELoss,100,0.0001,50,0.4,0.75,0.29333333333333333,0.4903030303030303
100,9900,BCELoss,100,0.0001,50,0.54,0.7,0.393030303030303,0.4768686868686869
100,9900,BCELoss,100,0.0001,50,0.46,0.52,0.37777777777777777,0.37666666666666665
100,9900,BCELoss,100,0.0001,50,0.4,0.76,0.3146464646464647,0.4702020202020202
100,9900,BCELoss,100,0.0001,50,0.58,0.67,0.38595959595959595,0.4206060606060606
100,9900,BCELoss,100,0.0001,50,0.52,0.77,0.38606060606060605,0.5566666666666666
100,9900,BCELoss,100,0.0001,50,0.55,0.49,0.3976767676767677,0.3706060606060606
100,9900,BCELoss,100,0.0001,50,0.6,0.76,0.3558585858585859,0.4772727272727273
100,9900,BCELoss,100,0.0001,50,0.5,0.64,0.341010101010101,0.4260606060606061
100,9900,BCELoss,100,0.0001,50,0.6,0.62,0.40393939393939393,0.48838383838383836
100,9900,BCELoss,100,0.0001,50,0.48,0.63,0.3611111111111111,0.44222222222222224
100,9900,BCELoss,100,0.0001,50,0.49,0.68,0.30434343434343436,0.45616161616161616
100,9900,BCELoss,100,0.0001,50,0.63,0.79,0.4503030303030303,0.5143434343434343
100,9900,BCELoss,100,0.0001,50,0.63,0.66,0.4072727272727273,0.46393939393939393
100,9900,BCELoss,100,0.0001,50,0.43,0.65,0.2905050505050505,0.4303030303030303
100,9900,BCELoss,100,0.0001,50,0.55,0.72,0.3883838383838384,0.5119191919191919
100,9900,BCELoss,100,0.0001,50,0.53,0.67,0.3934343434343434,0.40636363636363637
100,9900,BCELoss,100,0.0001,50,0.51,0.63,0.3653535353535354,0.36797979797979796
100,9900,BCELoss,100,0.0001,50,0.57,0.65,0.4485858585858586,0.43262626262626264
100,9900,BCELoss,100,0.0001,100,0.73,0.89,0.5875757575757575,0.6893939393939394
100,9900,BCELoss,100,0.0001,100,0.8,0.9,0.6304040404040404,0.7377777777777778
100,9900,BCELoss,100,0.0001,100,0.78,0.84,0.5464646464646464,0.6216161616161616
100,9900,BCELoss,100,0.0001,100,0.79,0.87,0.5976767676767677,0.6215151515151515
