training size,testing size,loss function,batch size,learning rate,epoch,control trainning accuracy,copy trainning accuracy,control testing accuracy,copy testing accuracy
100,9900,BCELoss,100,1e-05,50,0.13399999999999998,0.14800000000000002,0.11616666666666664,0.12171212121212123
100,9900,BCELoss,100,1e-05,100,0.20700000000000002,0.20750000000000002,0.16066161616161617,0.15775757575757576
100,9900,BCELoss,100,1e-05,200,0.32000000000000006,0.372,0.21687373737373736,0.2502020202020202
100,9900,BCELoss,100,5e-05,50,0.36949999999999994,0.4605,0.25162626262626264,0.29781818181818187
100,9900,BCELoss,100,5e-05,100,0.5105000000000001,0.7215,0.3654242424242425,0.4795606060606062
100,9900,BCELoss,100,5e-05,200,0.741,0.9065000000000001,0.574959595959596,0.6709545454545454
100,9900,BCELoss,100,0.0001,50,0.525,0.6795000000000001,0.3740454545454545,0.45466161616161616
100,9900,BCELoss,100,0.0001,100,0.7325,0.8875,0.5643939393939393,0.662520202020202
100,9900,BCELoss,100,0.0001,200,0.9560000000000001,0.9685000000000002,0.728858585858586,0.7550101010101009
100,9900,MSELoss,100,1e-05,50,0.15700000000000003,0.14900000000000005,0.13353030303030305,0.1206969696969697
100,9900,MSELoss,100,1e-05,100,0.20850000000000005,0.23199999999999998,0.15931313131313135,0.17241919191919192
100,9900,MSELoss,100,1e-05,200,0.3430000000000001,0.37800000000000006,0.2297171717171717,0.2543232323232323
100,9900,MSELoss,100,5e-05,50,0.3600000000000001,0.42400000000000004,0.2541262626262626,0.2830656565656566
100,9900,MSELoss,100,5e-05,100,0.5295,0.658,0.36693939393939395,0.46090909090909093
100,9900,MSELoss,100,5e-05,200,0.758,0.884,0.5884545454545453,0.675060606060606
100,9900,MSELoss,100,0.0001,50,0.5215000000000001,0.6125,0.3745858585858585,0.4279797979797979
100,9900,MSELoss,100,0.0001,100,0.7445,0.833,0.5660454545454547,0.6535101010101009
100,9900,MSELoss,100,0.0001,200,0.9375000000000002,0.968,0.7327020202020201,0.7636616161616163
201,9799,BCELoss,100,1e-05,50,0.19303482587064674,0.16492537313432837,0.16759363200326566,0.14366261863455454
201,9799,BCELoss,100,1e-05,100,0.2646766169154229,0.29154228855721387,0.21723135013776917,0.2441371568527401
201,9799,BCELoss,100,1e-05,200,0.3962686567164179,0.5124378109452736,0.3283192162465558,0.3907286457801817
201,9799,BCELoss,100,5e-05,50,0.46840796019900494,0.5885572139303483,0.38327890601081743,0.46956322073680984
201,9799,BCELoss,100,5e-05,100,0.6378109452736319,0.8044776119402985,0.5565363812633941,0.6660322481885906
201,9799,BCELoss,100,5e-05,200,0.8758706467661691,0.9323383084577115,0.7521073578936626,0.7932748239616287
201,9799,BCELoss,100,0.0001,50,0.6109452736318407,0.7895522388059704,0.532038983569752,0.6515766914991327
201,9799,BCELoss,100,0.0001,100,0.8383084577114428,0.9201492537313433,0.7268139606082252,0.7916011837942647
201,9799,BCELoss,100,0.0001,200,0.9644278606965173,0.9681592039800992,0.8029033574854576,0.8287988570262271
201,9799,MSELoss,100,1e-05,50,0.17835820895522386,0.19552238805970149,0.15881722624757627,0.1721042963567711
201,9799,MSELoss,100,1e-05,100,0.25472636815920396,0.3206467661691542,0.2123073783039086,0.2574497397693642
201,9799,MSELoss,100,1e-05,200,0.43258706467661695,0.5009950248756219,0.35220940912337995,0.41269517297683445
201,9799,MSELoss,100,5e-05,50,0.45,0.5472636815920399,0.3721196040412286,0.4401775691397082
201,9799,MSELoss,100,5e-05,100,0.6485074626865673,0.7803482587064676,0.5556587406878253,0.6620573527911011
201,9799,MSELoss,100,5e-05,200,0.840547263681592,0.9368159203980101,0.7247678334523932,0.8001173589141748
201,9799,MSELoss,100,0.0001,50,0.6271144278606966,0.7482587064676618,0.5440657209919378,0.6329778548831515
201,9799,MSELoss,100,0.0001,100,0.8592039800995025,0.9318407960199007,0.7364067762016532,0.7949637718134503
201,9799,MSELoss,100,0.0001,200,0.9656716417910447,0.9684079601990048,0.8125114807633432,0.8258342688029392
299,9701,BCELoss,100,1e-05,50,0.17458193979933112,0.1710702341137124,0.15899391815276775,0.15303576950829814
299,9701,BCELoss,100,1e-05,100,0.24414715719063543,0.25083612040133785,0.21527162148232146,0.22112153386248842
299,9701,BCELoss,100,1e-05,200,0.3881270903010034,0.482943143812709,0.33652716214823214,0.40366457066281836
299,9701,BCELoss,100,5e-05,50,0.40903010033444814,0.5434782608695653,0.3542418307390991,0.4603494485104628
299,9701,BCELoss,100,5e-05,100,0.6190635451505018,0.7802675585284282,0.5599422739923718,0.6797185857128133
299,9701,BCELoss,100,5e-05,200,0.8406354515050168,0.9086956521739129,0.754082053396557,0.8015049994845892
299,9701,BCELoss,100,0.0001,50,0.5727424749163881,0.7630434782608695,0.5168951654468611,0.6581228739305226
299,9701,BCELoss,100,0.0001,100,0.8295986622073578,0.900836120401338,0.7444902587362129,0.7986444696423047
299,9701,BCELoss,100,0.0001,200,0.9307692307692308,0.9618729096989969,0.812735800432945,0.8477734254200596
299,9701,MSELoss,100,1e-05,50,0.17759197324414716,0.17508361204013376,0.15974126378723844,0.15255128337284815
299,9701,MSELoss,100,1e-05,100,0.27257525083612044,0.2906354515050167,0.23949592825481902,0.24320173178022886
299,9701,MSELoss,100,1e-05,200,0.3846153846153845,0.46856187290969886,0.3360375219049582,0.40988042469848474
299,9701,MSELoss,100,5e-05,50,0.3973244147157191,0.5396321070234114,0.3429337181733842,0.4676579734048036
299,9701,MSELoss,100,5e-05,100,0.609866220735786,0.7449832775919731,0.5474847953819195,0.6603185238635192
299,9701,MSELoss,100,5e-05,200,0.8165551839464884,0.9103678929765888,0.7328986702401814,0.8093083187300278
299,9701,MSELoss,100,0.0001,50,0.5984949832775919,0.710200668896321,0.5498092980105144,0.6317132254406761
299,9701,MSELoss,100,0.0001,100,0.8250836120401338,0.9038461538461539,0.7409493866611689,0.8042469848469228
299,9701,MSELoss,100,0.0001,200,0.929933110367893,0.9620401337792643,0.8100505102566746,0.8476754973714051
501,9499,BCELoss,100,1e-05,50,0.2782435129740519,0.3002994011976048,0.2548794609958943,0.2673281398041899
501,9499,BCELoss,100,1e-05,100,0.41936127744510976,0.5358283433133731,0.3815401621223286,0.4870723234024634
501,9499,BCELoss,100,1e-05,200,0.5577844311377246,0.7427145708582833,0.5295346878618803,0.6862248657753447
501,9499,BCELoss,100,5e-05,50,0.6940119760479041,0.7939121756487026,0.6493472997157596,0.7312927676597537
501,9499,BCELoss,100,5e-05,100,0.8325349301397204,0.9082834331337324,0.7693967786082745,0.8336930203179282
501,9499,BCELoss,100,5e-05,200,0.9247504990019962,0.9603792415169661,0.8328455626908096,0.8699652595009999
501,9499,BCELoss,100,0.0001,50,0.8389221556886227,0.9057884231536926,0.7783608800926414,0.8336403831982313
501,9499,BCELoss,100,0.0001,100,0.9382235528942118,0.9543912175648701,0.8471154858406147,0.8704442572902412
501,9499,BCELoss,100,0.0001,200,0.9725548902195611,0.970558882235529,0.8640751658069272,0.8790977997683967
501,9499,MSELoss,100,1e-05,50,0.2999001996007984,0.30379241516966077,0.27486051163280345,0.2692125486893357
501,9499,MSELoss,100,1e-05,100,0.4089820359281437,0.49970059880239515,0.37030740077902935,0.4566901779134646
501,9499,MSELoss,100,1e-05,200,0.6089820359281438,0.7099800399201597,0.5741078008211391,0.6631592799242025
501,9499,MSELoss,100,5e-05,50,0.6793413173652695,0.7849301397205589,0.638235603747763,0.7328824086745974
501,9499,MSELoss,100,5e-05,100,0.8615768463073854,0.9135728542914171,0.7947310243183494,0.8399357827139697
501,9499,MSELoss,100,5e-05,200,0.9453093812375251,0.9606786427145708,0.8500789556795454,0.8693967786082748
501,9499,MSELoss,100,0.0001,50,0.839620758483034,0.911576846307385,0.7772133908832508,0.8374092009685231
501,9499,MSELoss,100,0.0001,100,0.9290419161676645,0.9591816367265469,0.8379671544373093,0.871028529318876
501,9499,MSELoss,100,0.0001,200,0.9653692614770459,0.9677644710578843,0.8576534372039163,0.8793346668070324
1000,9000,BCELoss,100,1e-05,50,0.38685,0.48119999999999996,0.37244444444444447,0.45984444444444444
1000,9000,BCELoss,100,1e-05,100,0.54895,0.7295,0.5331444444444444,0.6973333333333332
1000,9000,BCELoss,100,1e-05,200,0.77035,0.8531999999999998,0.7406611111111111,0.8212833333333333
1000,9000,BCELoss,100,5e-05,50,0.8303,0.8802,0.7970999999999999,0.8429500000000001
1000,9000,BCELoss,100,5e-05,100,0.9029999999999999,0.9400999999999999,0.8467555555555555,0.8828777777777777
1000,9000,BCELoss,100,5e-05,200,0.9496000000000002,0.9662999999999998,0.8729888888888888,0.8994999999999997
1000,9000,BCELoss,100,0.0001,50,0.8909500000000001,0.9353499999999999,0.8385055555555555,0.8832000000000001
1000,9000,BCELoss,100,0.0001,100,0.9288500000000001,0.9639999999999999,0.858,0.8973611111111113
1000,9000,BCELoss,100,0.0001,200,0.9642,0.9709,0.8791611111111113,0.9053277777777777
1000,9000,MSELoss,100,1e-05,50,0.3861,0.5021499999999999,0.3677055555555556,0.47956111111111105
1000,9000,MSELoss,100,1e-05,100,0.5731499999999998,0.7137499999999999,0.5548166666666667,0.6857611111111112
1000,9000,MSELoss,100,1e-05,200,0.76825,0.8609500000000001,0.7410666666666669,0.8253166666666667
1000,9000,MSELoss,100,5e-05,50,0.8102499999999999,0.8940999999999999,0.7774666666666666,0.8503444444444446
1000,9000,MSELoss,100,5e-05,100,0.89085,0.9426500000000001,0.8378055555555555,0.8859611111111112
1000,9000,MSELoss,100,5e-05,200,0.9525,0.9644000000000001,0.87715,0.8982777777777778
1000,9000,MSELoss,100,0.0001,50,0.9087000000000002,0.9419000000000001,0.8559944444444445,0.8844166666666669
1000,9000,MSELoss,100,0.0001,100,0.9520500000000002,0.9632,0.8754944444444444,0.8970500000000001
1000,9000,MSELoss,100,0.0001,200,0.9811500000000001,0.9697000000000001,0.8922444444444444,0.9014166666666666
2000,8000,BCELoss,100,1e-05,50,0.56965,0.7089749999999999,0.5577624999999999,0.6943999999999999
2000,8000,BCELoss,100,1e-05,100,0.7504250000000001,0.8425750000000001,0.7399562499999999,0.82578125
2000,8000,BCELoss,100,1e-05,200,0.843675,0.905975,0.8186937499999999,0.8799687500000001
2000,8000,BCELoss,100,5e-05,50,0.8794249999999998,0.9190750000000001,0.8525375000000001,0.8915062500000002
2000,8000,BCELoss,100,5e-05,100,0.9407,0.9521249999999997,0.8908187499999999,0.9079062499999999
2000,8000,BCELoss,100,5e-05,200,0.9549750000000001,0.966725,0.8947812500000001,0.9184000000000003
2000,8000,BCELoss,100,0.0001,50,0.9335749999999999,0.9507749999999999,0.8862250000000002,0.9086562499999999
2000,8000,BCELoss,100,0.0001,100,0.9542000000000002,0.9655250000000001,0.8926124999999999,0.9182812499999999
2000,8000,BCELoss,100,0.0001,200,0.973175,0.9714749999999999,0.9037,0.92436875
2000,8000,MSELoss,100,1e-05,50,0.5761249999999999,0.690625,0.5642375000000001,0.67728125
2000,8000,MSELoss,100,1e-05,100,0.7532749999999999,0.841475,0.7416375,0.82399375
2000,8000,MSELoss,100,1e-05,200,0.8588250000000001,0.9132499999999999,0.8350875000000002,0.8839875000000001
2000,8000,MSELoss,100,5e-05,50,0.8664000000000002,0.9254749999999999,0.8402624999999999,0.8936749999999998
2000,8000,MSELoss,100,5e-05,100,0.9232499999999998,0.953875,0.87570625,0.9095437500000003
2000,8000,MSELoss,100,5e-05,200,0.9534,0.9672750000000001,0.8931812499999999,0.9167437500000002
2000,8000,MSELoss,100,0.0001,50,0.938875,0.954375,0.8905249999999999,0.9094625000000001
2000,8000,MSELoss,100,0.0001,100,0.9591249999999999,0.966325,0.8980750000000001,0.9163812499999999
2000,8000,MSELoss,100,0.0001,200,0.9789750000000002,0.971575,0.90835625,0.9208375000000002
5001,4999,BCELoss,100,1e-05,50,0.7699060187962408,0.8562887422515496,0.7633126625325067,0.8496299259851969
5001,4999,BCELoss,100,1e-05,100,0.8636972605478903,0.9074185162967406,0.8501000200040009,0.8941088217643527
5001,4999,BCELoss,100,1e-05,200,0.9139372125574887,0.9339632073585283,0.8944888977795559,0.9172734546909382
5001,4999,BCELoss,100,5e-05,50,0.9157168566286742,0.9426914617076584,0.8907681536307261,0.9215543108621725
