training size,testing size,loss function,batch size,learning rate,epoch,control trainning accuracy,copy trainning accuracy,control testing accuracy,copy testing accuracy
100,9900,BCELoss,50,1e-05,50,0.21,0.18,0.10242424242424242,0.10111111111111111
100,9900,BCELoss,50,1e-05,50,0.19,0.14,0.1606060606060606,0.1390909090909091
100,9900,BCELoss,50,1e-05,50,0.23,0.18,0.1786868686868687,0.1617171717171717
100,9900,BCELoss,50,1e-05,50,0.14,0.18,0.13464646464646465,0.17555555555555555
100,9900,BCELoss,50,1e-05,50,0.13,0.15,0.10828282828282829,0.12545454545454546
100,9900,BCELoss,50,1e-05,50,0.17,0.26,0.13454545454545455,0.17
100,9900,BCELoss,50,1e-05,50,0.2,0.18,0.14939393939393938,0.17545454545454545
100,9900,BCELoss,50,1e-05,50,0.14,0.09,0.11969696969696969,0.081010101010101
100,9900,BCELoss,50,1e-05,50,0.2,0.23,0.15191919191919193,0.16646464646464645
100,9900,BCELoss,50,1e-05,50,0.15,0.21,0.12222222222222222,0.17717171717171717
100,9900,BCELoss,50,1e-05,100,0.22,0.23,0.17515151515151514,0.19252525252525252
100,9900,BCELoss,50,1e-05,100,0.32,0.29,0.21161616161616162,0.21525252525252525
100,9900,BCELoss,50,1e-05,100,0.25,0.35,0.15535353535353535,0.22505050505050506
100,9900,BCELoss,50,1e-05,100,0.29,0.24,0.19373737373737374,0.13595959595959595
100,9900,BCELoss,50,1e-05,100,0.23,0.29,0.15666666666666668,0.21373737373737373
100,9900,BCELoss,50,1e-05,100,0.17,0.38,0.13282828282828282,0.21787878787878787
100,9900,BCELoss,50,1e-05,100,0.33,0.33,0.1995959595959596,0.24636363636363637
100,9900,BCELoss,50,1e-05,100,0.32,0.24,0.18323232323232322,0.16282828282828282
100,9900,BCELoss,50,1e-05,100,0.4,0.34,0.2606060606060606,0.21656565656565657
100,9900,BCELoss,50,1e-05,100,0.32,0.16,0.19777777777777777,0.12606060606060607
100,9900,BCELoss,50,1e-05,200,0.37,0.55,0.2994949494949495,0.36707070707070705
100,9900,BCELoss,50,1e-05,200,0.44,0.54,0.24565656565656566,0.3576767676767677
100,9900,BCELoss,50,1e-05,200,0.46,0.53,0.3275757575757576,0.37707070707070706
100,9900,BCELoss,50,1e-05,200,0.41,0.52,0.30797979797979796,0.34919191919191916
100,9900,BCELoss,50,1e-05,200,0.47,0.57,0.30828282828282827,0.34595959595959597
100,9900,BCELoss,50,1e-05,200,0.32,0.65,0.22454545454545455,0.40606060606060607
100,9900,BCELoss,50,1e-05,200,0.5,0.37,0.3380808080808081,0.20686868686868687
100,9900,BCELoss,50,1e-05,200,0.5,0.42,0.36656565656565654,0.2723232323232323
100,9900,BCELoss,50,1e-05,200,0.39,0.49,0.25171717171717173,0.3086868686868687
100,9900,BCELoss,50,1e-05,200,0.45,0.47,0.29868686868686867,0.3523232323232323
100,9900,BCELoss,50,3e-05,50,0.38,0.43,0.241010101010101,0.2694949494949495
100,9900,BCELoss,50,3e-05,50,0.39,0.43,0.32191919191919194,0.32171717171717173
100,9900,BCELoss,50,3e-05,50,0.3,0.35,0.2476767676767677,0.25313131313131315
100,9900,BCELoss,50,3e-05,50,0.34,0.39,0.22666666666666666,0.2834343434343434
100,9900,BCELoss,50,3e-05,50,0.31,0.54,0.22727272727272727,0.2871717171717172
100,9900,BCELoss,50,3e-05,50,0.26,0.45,0.23666666666666666,0.30666666666666664
100,9900,BCELoss,50,3e-05,50,0.45,0.38,0.25424242424242427,0.2317171717171717
100,9900,BCELoss,50,3e-05,50,0.33,0.41,0.25747474747474747,0.2286868686868687
100,9900,BCELoss,50,3e-05,50,0.46,0.43,0.2965656565656566,0.23444444444444446
100,9900,BCELoss,50,3e-05,50,0.23,0.42,0.1707070707070707,0.2583838383838384
100,9900,BCELoss,50,3e-05,100,0.66,0.76,0.5181818181818182,0.4714141414141414
100,9900,BCELoss,50,3e-05,100,0.46,0.72,0.3386868686868687,0.4218181818181818
100,9900,BCELoss,50,3e-05,100,0.49,0.62,0.35545454545454547,0.43666666666666665
100,9900,BCELoss,50,3e-05,100,0.46,0.77,0.32646464646464646,0.526060606060606
