training size,testing size,loss function,batch size,learning rate,epoch,control trainning accuracy,copy trainning accuracy,control testing accuracy,copy testing accuracy
501,9499,BCELoss,100,1e-05,200,0.6347305389221557,0.7724550898203593,0.5810085272133909,0.7056532266554374
501,9499,BCELoss,100,1e-05,200,0.6646706586826348,0.6926147704590818,0.6088009264133066,0.6343825665859564
501,9499,BCELoss,100,1e-05,200,0.6826347305389222,0.8083832335329342,0.6315401621223287,0.734077271291715
501,9499,BCELoss,100,1e-05,200,0.5748502994011976,0.780439121756487,0.5140541109590483,0.7098641962311822
501,9499,BCELoss,100,1e-05,200,0.6526946107784432,0.7684630738522954,0.5858511422254974,0.7020739025160543
501,9499,BCELoss,100,1e-05,200,0.6526946107784432,0.7744510978043913,0.6001684387830298,0.7156542793978313
501,9499,BCELoss,100,1e-05,200,0.5568862275449101,0.7504990019960079,0.5377408148226129,0.6948099799978945
501,9499,BCELoss,100,1e-05,200,0.6387225548902196,0.7704590818363274,0.58679861038004,0.7047057585008948
501,9499,BCELoss,100,1e-05,200,0.5968063872255489,0.7504990019960079,0.5763764606800715,0.709653647752395
501,9499,BCELoss,100,1e-05,200,0.7005988023952096,0.7544910179640718,0.6629118854616275,0.6895462680282135
501,9499,BCELoss,100,5e-05,200,0.9540918163672655,0.9860279441117764,0.8495631119065165,0.882724497315507
501,9499,BCELoss,100,5e-05,200,0.9720558882235529,0.9820359281437125,0.8816717549215707,0.8934624697336562
501,9499,BCELoss,100,5e-05,200,0.8622754491017964,0.9820359281437125,0.7877671333824613,0.8852510790609538
501,9499,BCELoss,100,5e-05,200,0.9720558882235529,0.9760479041916168,0.8821981261185388,0.8857774502579219
501,9499,BCELoss,100,5e-05,200,0.9780439121756487,0.9840319361277445,0.8769344141488578,0.8781977050215812
501,9499,BCELoss,100,5e-05,200,0.9700598802395209,0.9780439121756487,0.8914622591851774,0.8943046636488051
501,9499,BCELoss,100,5e-05,200,0.9720558882235529,0.9820359281437125,0.8790398989367302,0.8888304032003369
501,9499,BCELoss,100,5e-05,200,0.9680638722554891,0.9780439121756487,0.865775344773134,0.8834614169912622
501,9499,BCELoss,100,5e-05,200,0.8882235528942116,0.9760479041916168,0.8200863248763027,0.8837772397094431
501,9499,BCELoss,100,5e-05,200,0.9720558882235529,0.9880239520958084,0.8561953889883146,0.8745131066428045
501,9499,BCELoss,100,0.0001,200,0.9920159680638723,0.9960079840319361,0.8818823034003579,0.8918833561427518
501,9499,BCELoss,100,0.0001,200,0.9900199600798403,0.9960079840319361,0.8860932729761027,0.8967259711548584
501,9499,BCELoss,100,0.0001,200,0.906187624750499,0.9900199600798403,0.825034214127803,0.8988314559427308
501,9499,BCELoss,100,0.0001,200,0.9920159680638723,1.0,0.8813559322033898,0.8816717549215707
501,9499,BCELoss,100,0.0001,200,0.8982035928143712,0.9900199600798403,0.8077692388672492,0.8898831455942731
501,9499,BCELoss,100,0.0001,200,0.9900199600798403,0.998003992015968,0.8780924307821876,0.8896725971154859
501,9499,BCELoss,100,0.0001,200,0.9900199600798403,1.0,0.8850405305821666,0.8991472786609117
501,9499,BCELoss,100,0.0001,200,0.9880239520958084,0.9960079840319361,0.8861985472154964,0.8958837772397095
501,9499,BCELoss,100,0.0001,200,0.9700598802395209,0.9960079840319361,0.8698810401094852,0.8855669017791347
501,9499,BCELoss,100,0.0001,200,0.9920159680638723,0.9940119760479041,0.8774607853458258,0.8914622591851774
1000,9000,BCELoss,100,1e-05,200,0.798,0.861,0.7841111111111111,0.8335555555555556
1000,9000,BCELoss,100,1e-05,200,0.716,0.831,0.7032222222222222,0.8254444444444444
1000,9000,BCELoss,100,1e-05,200,0.8,0.888,0.7764444444444445,0.8521111111111112
1000,9000,BCELoss,100,1e-05,200,0.696,0.852,0.6707777777777778,0.8203333333333334
