training size,testing size,loss function,batch size,learning rate,epoch,control trainning accuracy,copy trainning accuracy,control testing accuracy,copy testing accuracy
501,9499,BCELoss,100,1e-05,200,0.6355289421157684,0.7622754491017966,0.5885251079060955,0.7000421096957575
501,9499,BCELoss,100,5e-05,200,0.9508982035928144,0.9812375249500999,0.8590693757237602,0.8850300031582272
501,9499,BCELoss,100,0.0001,200,0.9708582834331339,0.9956087824351296,0.8678808295610064,0.8920728497736603
1000,9000,BCELoss,100,1e-05,200,0.7747999999999999,0.8628,0.7529222222222223,0.8308666666666668
1000,9000,BCELoss,100,5e-05,200,0.9698,0.9885000000000002,0.8954444444444445,0.9123333333333333
1000,9000,BCELoss,100,0.0001,200,0.9712,0.9968,0.8908777777777777,0.9173444444444444
3001,6999,BCELoss,100,1e-05,200,0.8984671776074642,0.9382872375874708,0.8743249035576511,0.9118731247321046
3001,6999,BCELoss,100,5e-05,200,0.9753748750416527,0.9938020659780074,0.9203457636805258,0.9441777396770966
3001,6999,BCELoss,100,0.0001,200,0.9800066644451849,0.9982339220259913,0.9222317473924846,0.9486640948706958
5001,4999,BCELoss,100,1e-05,200,0.9283143371325734,0.9536492701459707,0.9071614322864573,0.9301460292058412
5001,4999,BCELoss,100,5e-05,200,0.985882823435313,0.9953809238152369,0.9389677935587116,0.9555311062212443
5001,4999,BCELoss,100,0.0001,200,0.9917816436712658,0.9982603479304138,0.94374874974995,0.961732346469294
7000,3000,BCELoss,100,1e-05,200,0.9342714285714285,0.9596285714285713,0.9135666666666667,0.9398
7000,3000,BCELoss,100,5e-05,200,0.9877571428571429,0.9966571428571429,0.9441666666666666,0.9617333333333334
7000,3000,BCELoss,100,0.0001,200,0.9921285714285715,0.9979000000000001,0.9474333333333332,0.9685333333333335
